step = 0.356
start at 211.316 - 3.9*0.4
end at 211.316 + 2

Energy points             	sigma_sigma
209.756 209.796		  	0.146e-1
209.756 210.112		        0.564e-2
209.756 210.468                 0.681e-1 
209.756 210.824		        0.35e-1 
209.756 211.18		  	0.255e-1 
209.756 211.536		  	0.239e-1 
209.756 211.892		  	0.223e-1 
209.756 212.248		  	0.223e-1 
209.756 212.604		  	0.232e-1 
209.756 212.96		  	0.274e-1 
209.756 213.306		  	0.391e-1 
210.102 210.112	          	0.215e-1
210.112 210.468		  	0.884e-2
210.112 210.824		  	0.125e-1
210.112 211.18		  	0.849e-2
210.112 211.536		  	0.665e-2
210.112 211.892		  	0.629e-2
210.112 212.248		  	0.708e-2
210.112 212.604		  	0.108e-1
210.112 212.96		  	0.251e-1 
210.112 213.306		  	0.330e-1
210.460 210.468		  	---
210.468 210.824		  	0.122e-1
210.468 211.18		  	0.502e-1
210.468 211.536		  	0.365e-2
210.468 211.892		  	0.376e-2
210.468 212.248		  	0.586e-2
210.468 212.604		  	0.119e-1
210.468 212.96		  	0.326e-1
210.468 213.306		  	0.373e-1
210.820 210.824		  	0.409e-2
210.824 211.18		  	0.414e-2
210.824	211.536		  	0.306e-2
210.824 211.892		  	0.324e-2
210.824 212.248		  	0.591e-2
210.824 212.604		  	0.191e-1
210.824 212.96		  	0.502e-1
210.824 213.306		  	---
211.100 211.18		  	0.275e-1
211.180 211.536		  	0.737e-2
211.180 211.892		  	0.677e-2	
211.180 212.248		  	0.127e-1
211.180 212.604		  	0.304e-1
211.180 212.96		  	0.922e-1
211.180 213.306		  	0.922e-1
211.530 211.536		  	0.464e-1
211.536 211.892		  	0.167e-1
211.536 212.248		  	0.298e-1
211.536 212.604		  	0.111
211.536 212.96		  	0.139
211.536 213.306		  	0.598e-1
211.888 211.892		  	0.161
211.892 212.248		  	0.314
211.892 212.604		  	0.178
211.892 212.96		  	0.305e-3
211.892 213.306		  	0.219
212.240 212.248		  	0.343
212.248 212.604		  	0.274
212.248 212.96		  	0.106
212.248 213.306		  	0.194
212.598 212.604		  	0.214
212.604 212.96		  	0.335
212.604 212.306		  	0.9
212.90	212.96		  	0.217
212.960 213.306		  	0.363
213.300 213.306		  	---
